time x y z yaw
12.704 32.8981 -1.3263 0.3292 1.5708
12.736 32.9203 -1.3261 0.3292 1.5708
12.768 32.9425 -1.3259 0.3292 1.5707
12.800 32.9646 -1.3258 0.3292 1.5707
12.832 32.9868 -1.3256 0.3292 1.5707
12.864 33.0090 -1.3255 0.3292 1.5707
12.896 33.0312 -1.3253 0.3292 1.5707
12.928 33.0533 -1.3251 0.3292 1.5707
12.960 33.0755 -1.3250 0.3292 1.5707
12.992 33.0977 -1.3248 0.3292 1.5707
13.024 33.1199 -1.3246 0.3292 1.5707
13.056 33.1420 -1.3245 0.3292 1.5707
13.088 33.1642 -1.3243 0.3292 1.5707
13.120 33.1864 -1.3242 0.3292 1.5707
13.152 33.2086 -1.3240 0.3292 1.5707
13.184 33.2307 -1.3238 0.3292 1.5707
13.216 33.2529 -1.3237 0.3292 1.5708
13.248 33.2751 -1.3235 0.3292 1.5708
13.280 33.2973 -1.3234 0.3292 1.5708
13.312 33.3194 -1.3232 0.3292 1.5708
13.344 33.3416 -1.3230 0.3292 1.5708
13.376 33.3638 -1.3229 0.3292 1.5708
13.408 33.3860 -1.3227 0.3292 1.5708
13.440 33.4082 -1.3226 0.3292 1.5708
13.472 33.4303 -1.3224 0.3292 1.5708
13.504 33.4525 -1.3222 0.3292 1.5708
13.536 33.4747 -1.3221 0.3292 1.5708
13.568 33.4969 -1.3219 0.3292 1.5708
13.600 33.5190 -1.3217 0.3292 1.5708
13.632 33.5412 -1.3216 0.3292 1.5708
13.664 33.5634 -1.3214 0.3292 1.5708
13.696 33.5856 -1.3213 0.3292 1.5708
13.728 33.6077 -1.3211 0.3292 1.5708
13.760 33.6299 -1.3209 0.3292 1.5707
13.792 33.6521 -1.3208 0.3292 1.5707
13.824 33.6743 -1.3206 0.3292 1.5707
13.856 33.6964 -1.3205 0.3292 1.5707
13.888 33.7186 -1.3203 0.3292 1.5707
13.920 33.7408 -1.3201 0.3292 1.5707
13.952 33.7630 -1.3200 0.3292 1.5707
13.984 33.7851 -1.3198 0.3292 1.5707
14.016 33.8073 -1.3196 0.3292 1.5707
14.048 33.8295 -1.3195 0.3292 1.5707
14.080 33.8517 -1.3193 0.3292 1.5707
14.112 33.8738 -1.3192 0.3292 1.5707
14.144 33.8960 -1.3190 0.3292 1.5707
14.176 33.9182 -1.3188 0.3292 1.5707
14.208 33.9404 -1.3187 0.3292 1.5708
14.240 33.9625 -1.3185 0.3292 1.5708
14.272 33.9847 -1.3184 0.3292 1.5708
14.304 34.0069 -1.3182 0.3292 1.5708
14.336 34.0291 -1.3180 0.3292 1.5708
14.368 34.0512 -1.3179 0.3292 1.5708
14.400 34.0734 -1.3177 0.3292 1.5708
14.432 34.0956 -1.3175 0.3292 1.5708
14.464 34.1178 -1.3174 0.3292 1.5708
14.496 34.1399 -1.3172 0.3292 1.5708
14.528 34.1621 -1.3171 0.3292 1.5708
14.560 34.1843 -1.3169 0.3292 1.5708
14.592 34.2065 -1.3167 0.3292 1.5708
14.624 34.2286 -1.3166 0.3292 1.5708
